participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
65,sh166xg8,,0,10,9,ultimatum_t1,1,Validation,10.109.135.32,2017-08-18 01:30:22.916543+00:00,0,1,A2KFSZAF4C7A06,3QFUFYSY9ZULSLOTUGZ3WVYS667F4J,0.00,2,4176702,0.00,29,0.00,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
66,l9562p18,,0,8,9,ultimatum_t1,1,Results,10.169.124.243,2017-08-18 01:30:49.540432+00:00,0,1,A32OQMVL7Y17M6,3QY5DC2MXSZK9JI89MQL9ZWM5JVUFL,0.00,1,,0.00,30,0.50,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
67,g9xr5hsr,,0,10,9,ultimatum_t1,1,Validation,10.97.160.245,2017-08-18 01:31:18.519138+00:00,0,1,A2G4O61TYSWYS9,3SLE99ER0OSBI102A73X71KGS3IZBX,0.50,1,1999864,0.50,31,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
68,n9mst2vq,,0,10,9,ultimatum_t1,1,Validation,10.236.186.89,2017-08-18 01:31:32.460880+00:00,0,1,A192EJRA8LJYMV,37TD41K0AIOXRU6UTF5KMSTVN9ISCS,0.50,2,1085305,0.50,31,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
69,go0jkvbx,,0,10,9,ultimatum_t1,1,Validation,10.16.227.159,2017-08-18 01:36:13.587031+00:00,0,1,AL5HBAJ3ZCNSD,32KTQ2V7REUSV1MMXYZ78TTHPZY9MH,0.50,2,7821350,0.50,32,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
70,2xt7w7yp,,0,8,9,ultimatum_t1,1,Results,10.65.88.66,2017-08-18 01:43:24.272555+00:00,0,1,A15WC7PG7FJ3U8,3AMYWKA6YC1TDL50C7B8GNRKUY6O61,0.00,1,,0.00,40,0.00,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
71,sh62t34s,,0,10,9,ultimatum_t1,1,Validation,10.45.73.26,2017-08-18 01:44:07.684791+00:00,0,1,A14UHV6X0JRDK6,3WS1NTTKEZR4TX6SBFC1KS8FPUTF05,0.50,1,3598632,0.50,34,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
72,1iypciou,,0,3,9,ultimatum_t1,1,WaitToStart,10.63.100.77,2017-08-18 01:44:52.805743+00:00,0,1,A1K78KY8SGVH4J,3ZGVPD4G6UWBENUJATUI7VQ2YAKTZJ,0.00,72,,0.00,1,,,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
73,m82s3sh7,,0,10,9,ultimatum_t1,1,Validation,10.154.148.197,2017-08-18 01:47:36.702248+00:00,0,1,A3PQYXLTFRM14Z,3LS2AMNW5G5MN3OKRGP6MS8BUZIQO0,0.50,2,6903396,0.50,34,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
74,zyeinmnw,,0,10,9,ultimatum_t1,1,Validation,10.145.25.250,2017-08-18 01:51:15.732238+00:00,0,1,AT4NY32L3M7HO,3X4MXAO0BH3U4DCMVH5G8CV2TNKRWF,0.00,2,3155563,0.00,35,0.00,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
